facility_id,facility_name,primary_sector,state,scope1,scope2_estimated,scope3_estimated,ipcc_bucket,confidence,scope2_3_methodology_note
1000251,Grant Town Power Plant,Power Plants,WV,731995.132,29280,212279,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000254,Eagle Natrium LLC - Natrium Plant,Chemicals,WV,598986.364,82061,600783,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000255,"Odyssey Energy Altura Cogen, LLC",Power Plants,TX,2163677.836,86547,627467,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000256,"WestRock Virginia, Covington",Pulp and Paper,VA,970083.588,132901,972994,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000262,"WestRock Coated Board, LLC",Pulp and Paper,AL,437314.564,59912,438627,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000263,Gordonsville Power Station,Power Plants,VA,417745.738,16710,121146,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000265,Fayette Energy Facility,Power Plants,PA,2111450.276,84458,612321,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000271,Rocky Mountain Energy Center,Power Plants,CO,1074429.868,42977,311585,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000272,UCC South Charleston Plant,Chemicals,WV,82514.84,11305,82762,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000273,"GP Big Island, LLC",Pulp and Paper,VA,233196.34310193267,31948,233896,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000277,Jasper County Generating Facility,Power Plants,SC,2054257.01,82170,595735,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000278,Walter M. Higgins III Generating Station,Power Plants,NV,871130.788,34845,252628,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000282,"DTE Calvert City, LLC",Power Plants,KY,199368.2,7975,57817,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000286,Naval Station - Great Lakes,Other,IL,25550.902,NA,NA,NA,Unresolved -- needs further inspection before mapping,"Unresolved sector ('Other') -- left NA pending further investigation, not a real zero."
1000293,COVANTA ENERGY,Waste,IN,355034.284,48640,356099,Industry,Weak (no dedicated waste sector in paper),"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Weak (no dedicated waste sector in paper)."
1000298,Sylvarena Generating Plant,Power Plants,MS,151232.588,6049,43857,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000300,"Gilroy Energy Center, LLC",Power Plants,CA,15113.044,605,4383,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000304,CARGILL CORN MILLING-WAHPETON FACILITY,Other,ND,54419.412,NA,NA,NA,Unresolved -- needs further inspection before mapping,"Unresolved sector ('Other') -- left NA pending further investigation, not a real zero."
1000323,Cosumnes Power Plant,Power Plants,CA,1117202.15,44688,323989,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000324,Marlboro Paper Mill,Pulp and Paper,SC,102527.196,14046,102835,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000325,"Indorama Ventures, Xylenes and PTA, LLC",Chemicals,AL,258727.234,35446,259503,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000329,CARDINAL GLASS PLT,Minerals,OK,115984.292,15890,116332,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000336,Koppers Inc. Stickney Plant,Chemicals,IL,51239.608,7020,51393,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000343,Lemont Refinery,Chemicals,IL,1857829.404,254523,1863403,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000346,Bayou Cogeneration Plant,Chemicals,TX,2017198.162,276356,2023250,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000347,Midland Cogeneration Venture,Power Plants,MI,4609329.62,184373,1336706,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000351,"MW/MB, LLC",Minerals,TN,34971.216,4791,35076,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000356,Kensing LLC,Chemicals,IL,30169.836,4133,30260,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000360,SANIMAX USA LLC,Other,WI,28167.244,NA,NA,NA,Unresolved -- needs further inspection before mapping,"Unresolved sector ('Other') -- left NA pending further investigation, not a real zero."
1000362,CAMDEN CNTY RESOURCE RECOVERY ASSOC,Waste,NJ,145410.472,19921,145847,Industry,Weak (no dedicated waste sector in paper),"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Weak (no dedicated waste sector in paper)."
1000365,Kersey Valley MSW Landfill,Waste,NC,106752.75,14625,107073,Industry,Weak (no dedicated waste sector in paper),"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Weak (no dedicated waste sector in paper)."
1000372,CITY OF DENTON LANDFILL,Waste,TX,120371.5,16491,120733,Industry,Weak (no dedicated waste sector in paper),"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Weak (no dedicated waste sector in paper)."
1000380,GM TECHNICAL CENTER,Other,MI,40909.196,NA,NA,NA,Unresolved -- needs further inspection before mapping,"Unresolved sector ('Other') -- left NA pending further investigation, not a real zero."
1000382,WINNESHIEK COUNTY SANITARY LANDFILL,Waste,IA,35734.25,4896,35841,Industry,Weak (no dedicated waste sector in paper),"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Weak (no dedicated waste sector in paper)."
1000383,BIOGEN INC,Chemicals,MA,28268.192,3873,28353,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000396,The Ohio State University,Other,OH,134702.296,NA,NA,NA,Unresolved -- needs further inspection before mapping,"Unresolved sector ('Other') -- left NA pending further investigation, not a real zero."
1000398,Hog Bayou Energy Center,Power Plants,AL,615891.968,24636,178609,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000399,UNION ELEC HARMON CREEK PLT,Metals,PA,34386.372,4711,34490,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000401,"Primary Products Ingredients Americas, LLC",Other,TN,385278.728,NA,NA,NA,Unresolved -- needs further inspection before mapping,"Unresolved sector ('Other') -- left NA pending further investigation, not a real zero."
1000402,University of Florida Cogeneration Plant,Power Plants,FL,203558.444,8142,59032,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000404,Silverhawk,Power Plants,NV,1013339.044,40534,293868,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000408,University of Michigan,Other,MI,272741.22,NA,NA,NA,Unresolved -- needs further inspection before mapping,"Unresolved sector ('Other') -- left NA pending further investigation, not a real zero."
1000411,Lima Refinery,Petroleum Product Suppliers,OH,1205035.274,48201,349460,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000420,Equus Power I,Power Plants,NY,30655.836,1226,8890,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000421,Fox Energy Center,Power Plants,WI,1625577.232,65023,471417,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000425,MERCER COUNTY LANDFILL,Waste,WV,49775.25,6819,49925,Industry,Weak (no dedicated waste sector in paper),"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Weak (no dedicated waste sector in paper)."
1000427,PAPERWORKS INDUSTRIES INC,Pulp and Paper,IN,51272.356,7024,51426,Industry,Good,"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000429,Pennsauken Sanitary Landfill,Waste,NJ,71990.55,9863,72207,Industry,Weak (no dedicated waste sector in paper),"v1 estimate: Hertwich & Wood (2018) 'Industry' sector ratio (1.14x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Weak (no dedicated waste sector in paper)."
1000446,TS Power Plant,Power Plants,NV,1088648.234,43546,315708,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
1000450,Caithness Long Island Energy Center,Power Plants,NY,898317.24,35933,260512,Energy,Good,"v1 estimate: Hertwich & Wood (2018) 'Energy' sector ratio (0.33x Scope 1 combined, 12%/88% Scope2:Scope3 split borrowed from the paper's Industry sector only). Confidence: Good."
